"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","fc_direction"
"ENSG00000197355",474.685663723213,-0.920758490602942,0.0638648415793491,-14.4172985923553,4.02802209821587e-47,1.42143880122451e-45,"UAP1L1",91373,"DOWN"
"ENSG00000141564",1390.9124312316,-0.535566180167694,0.0375153006082901,-14.2759399893852,3.09091790144429e-46,1.07121065181398e-44,"RPTOR",57521,"DOWN"
"ENSG00000129003",1065.44468002657,0.556114739956135,0.0392343622726829,14.1741755885079,1.32388736669863e-45,4.56092947399734e-44,"VPS13C",54832,"UP"
"ENSG00000008294",1855.79180317147,0.421093292321698,0.0301427853996097,13.9699529004758,2.37783864424713e-44,7.82059678745303e-43,"SPAG9",9043,"UP"
"ENSG00000145362",1091.8497234556,0.545584110152421,0.039074181760676,13.9627776083463,2.62981449827197e-44,8.60060459857396e-43,"ANK2",287,"UP"
"ENSG00000152558",676.487176210713,0.667934136527551,0.0485902931984009,13.7462462677532,5.36413289697527e-43,1.68773937490198e-41,"TMEM123",114908,"UP"
"ENSG00000184903",451.405279537256,0.817082234111885,0.0600751828672247,13.6009945390888,3.95024975098611e-42,1.20058637719761e-40,"IMMP2L",83943,"UP"
"ENSG00000075568",1723.17317645576,0.422231020571465,0.0310951102805773,13.5786950668961,5.35723914229523e-42,1.62395682616312e-40,"TMEM131",23505,"UP"
"ENSG00000116560",2322.58381319796,-0.395561603450419,0.0292926044494225,-13.5038044887203,1.48504862043685e-41,4.43224022706216e-40,"SFPQ",6421,"DOWN"
"ENSG00000092199",2236.90804725733,-0.391769142060068,0.0291277107530374,-13.4500491776277,3.07667615833201e-41,9.08911200972891e-40,"HNRNPC",3183,"DOWN"
"ENSG00000167468",731.934658003113,0.687505797541384,0.0514254433631875,13.3689814336833,9.1789159461206e-41,2.67085749710426e-39,"GPX4",2879,"UP"
"ENSG00000160211",406.224065755504,0.83968797122205,0.0628143371748084,13.3677757179106,9.32889696490565e-41,2.70771234406387e-39,"G6PD",2539,"UP"
"ENSG00000054118",1457.62217879324,-0.475960868944344,0.0357043958287073,-13.3305957963209,1.53665524878305e-40,4.41598203920079e-39,"THRAP3",9967,"DOWN"
"ENSG00000106484",185.863660518017,-1.62483492098567,0.122071075768997,-13.3105644457533,2.009577793023e-40,5.74660053620615e-39,"MEST",4232,"DOWN"
"ENSG00000130363",171.353013596555,1.29652280308179,0.0979242365567516,13.2400603637118,5.15074137674621e-40,1.45499044729984e-38,"RSPH3",83861,"UP"
"ENSG00000140564",573.75465568673,0.692831289382394,0.0537078386899308,12.9000031705295,4.50078660830863e-38,1.22950900052855e-36,"FURIN",5045,"UP"
"ENSG00000107249",1188.01296992549,-0.533268803084019,0.0413799463537278,-12.8871313298834,5.31856099514915e-38,1.44949514445262e-36,"GLIS3",169792,"DOWN"
"ENSG00000141425",773.449578270201,0.584723220059511,0.0456227732783731,12.8164769048946,1.32589474929964e-37,3.55511271117063e-36,"RPRD1A",55197,"UP"
"ENSG00000140943",572.85555860708,0.637975015184696,0.0502407270604094,12.6983635093018,6.03790908827782e-37,1.57528369696417e-35,"MBTPS1",8720,"UP"
"ENSG00000160087",378.215936923108,-0.901458918869529,0.0712671451361398,-12.6490112259653,1.13291632525051e-36,2.92292411914631e-35,"UBE2J2",118424,"DOWN"
"ENSG00000071967",592.281300521326,0.669615174304302,0.0532384289928876,12.5776659261257,2.80186406131432e-36,7.13369336663579e-35,"CYBRD1",79901,"UP"
"ENSG00000137267",607.41321713925,0.629645197993026,0.0503794398787712,12.4980587221325,7.64965182260396e-36,1.9099453260308e-34,"TUBB2A",7280,"UP"
"ENSG00000021645",424.848201848968,0.830793918340463,0.0666206618638569,12.4705143283962,1.08125891612104e-35,2.67093957790749e-34,"NRXN3",9369,"UP"
