Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR2443204	1673.0	93934.0	307351.0	720224.0	655534.0	590031.0	595625.0	700440.0	593070.0	606137.0	619717.0	582795.0	564605.0	574626.0	652605.0	640514.0	588046.0	695851.0	542017.0	512188.0	478188.0	463466.0	471013.0	418847.0	460443.0	354877.0	358092.0	338679.0	337224.0	347498.0	440870.0	365539.0	375984.0	462703.0	1793524.0	84048985.0
SRR2443205	1880.0	72238.0	310062.0	755561.0	688504.0	657654.0	680122.0	639971.0	646888.0	637486.0	632942.0	609711.0	594395.0	592758.0	539868.0	528278.0	559514.0	506127.0	541822.0	522525.0	564807.0	549648.0	547465.0	526348.0	441445.0	430012.0	651711.0	441016.0	439539.0	414816.0	404235.0	402682.0	450400.0	631572.0	2624859.0	81944814.0
SRR2443206	2291.0	96446.0	434681.0	1002559.0	919493.0	910104.0	915284.0	891039.0	861717.0	811327.0	774764.0	725577.0	701974.0	610770.0	584303.0	550180.0	529410.0	508554.0	490828.0	503293.0	494158.0	488262.0	489735.0	493606.0	505034.0	504119.0	507572.0	511058.0	519528.0	586874.0	556717.0	532291.0	566532.0	758590.0	4012781.0	89105315.0
SRR2443207	1901.0	73513.0	342715.0	770603.0	722426.0	895927.0	658793.0	691284.0	676988.0	641350.0	716923.0	672297.0	672544.0	691871.0	873072.0	610419.0	737794.0	511609.0	503532.0	505032.0	407256.0	397909.0	434426.0	518892.0	393759.0	407860.0	391166.0	389279.0	397840.0	408187.0	592181.0	520801.0	513443.0	612881.0	2395161.0	83505803.0
SRR2443208	1898.0	68476.0	334028.0	736638.0	706888.0	678993.0	648908.0	664382.0	645505.0	641423.0	700291.0	664188.0	648897.0	659250.0	637056.0	575880.0	572414.0	870637.0	463123.0	500499.0	451775.0	394391.0	403921.0	369811.0	405637.0	380524.0	382583.0	385108.0	467431.0	466016.0	465537.0	489172.0	497911.0	570349.0	1904369.0	78395374.0
SRR2443209	1909.0	77948.0	341020.0	790067.0	705855.0	693210.0	711024.0	684417.0	721028.0	718979.0	720721.0	704940.0	669288.0	679359.0	643917.0	576821.0	574077.0	494872.0	440101.0	419862.0	400530.0	395049.0	390781.0	374100.0	358495.0	371076.0	352387.0	364051.0	365955.0	368230.0	379085.0	382404.0	408172.0	492734.0	1785663.0	93395323.0
SRR2443210	2595.0	119401.0	544380.0	1400591.0	1125179.0	1000667.0	1135361.0	803426.0	837646.0	822411.0	732844.0	696739.0	684142.0	701372.0	671965.0	551325.0	562271.0	485910.0	460628.0	465808.0	451896.0	540707.0	487937.0	441333.0	424703.0	421741.0	417827.0	498397.0	527431.0	456172.0	455618.0	447613.0	449956.0	542033.0	1932397.0	93322206.0
SRR2443211	2049.0	82824.0	354507.0	816929.0	724808.0	701826.0	694214.0	650149.0	647678.0	633651.0	663982.0	652330.0	626764.0	619721.0	581060.0	565756.0	570056.0	547577.0	482881.0	486054.0	456042.0	388438.0	377765.0	359862.0	334937.0	342522.0	350471.0	350162.0	349889.0	342958.0	353755.0	355309.0	390198.0	498993.0	2169439.0	76624228.0
SRR2443212	1879.0	131336.0	337670.0	815695.0	734472.0	647069.0	637524.0	723793.0	641269.0	623600.0	664784.0	620421.0	590381.0	601306.0	928542.0	548242.0	657196.0	668453.0	802045.0	512849.0	492917.0	461122.0	398044.0	405770.0	370542.0	353115.0	314076.0	436981.0	447778.0	360735.0	447785.0	345383.0	363217.0	461608.0	2326011.0	86426101.0
SRR2443213	2684.0	103621.0	459609.0	1035516.0	937575.0	907793.0	871008.0	758939.0	782941.0	736311.0	740928.0	698481.0	667512.0	655287.0	633235.0	561440.0	535049.0	511034.0	498013.0	472718.0	471265.0	470356.0	469633.0	474652.0	478412.0	478700.0	475885.0	485767.0	493835.0	522751.0	536256.0	547853.0	568207.0	811529.0	4495313.0	65724174.0
